                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7345,                 7.6086,                 4.2638,                      0,                      0,                      0,                      0,                 2.4954,                 13.202,                 2.1638,                0.00038,                0.00038,                0.00038
                      2,                 3.9655,                 5.9368,                 4.0814,                      0,                      0,                      0,                      0,                 2.4819,                 12.011,                 2.1618,             0.00077743,             0.00077743,             0.00077743
                      3,                 3.6047,                 5.3502,                 3.6433,                      0,                      0,                      0,                      0,                 2.4947,                 6.1368,                 2.2309,              0.0011722,              0.0011722,              0.0011722
                      4,                 3.1269,                 4.5509,                 3.0564,                      0,                      0,                      0,                      0,                 2.5215,                 5.3838,                 2.3048,              0.0015644,              0.0015644,              0.0015644
                      5,                  3.147,                 4.2759,                 2.7643,                      0,                      0,                      0,                      0,                    2.5,                 5.5517,                 2.3233,              0.0019539,              0.0019539,              0.0019539
                      6,                 3.0894,                 3.8158,                 2.7482,                      0,                      0,                      0,                      0,                 2.3029,                 4.1206,                 2.0815,               0.001967,               0.001967,               0.001967
                      7,                 2.9161,                 3.4729,                 2.4814,                0.00442,                   0.35,                0.01187,                0.00291,                  3.666,                 4.8414,                 2.4346,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.8788,                 3.3504,                 2.5822,                0.33503,                   0.05,                0.04677,                0.01064,                 3.1569,                 6.0586,                 2.0227,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.8075,                 3.1655,                 2.3735,                0.23659,                0.07767,                0.05507,                0.02288,                 2.9867,                 3.1824,                 2.1032,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.6787,                 2.6761,                 2.3094,                0.30334,                0.21667,                0.12636,                0.04039,                 3.0603,                 4.7775,                 2.0556,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.6679,                  2.591,                  2.227,                0.24353,                0.18333,                0.16384,                0.05707,                 3.2514,                 3.2641,                 2.0298,               0.001934,               0.001934,               0.001934
                     12,                 2.6212,                 2.5572,                 2.1796,                0.24924,                0.31667,                0.16076,                0.04485,                 3.2404,                 4.0339,                 2.1412,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.6631,                 2.5873,                 2.1647,                0.41116,                0.28333,                0.22652,                0.05197,                 3.1761,                 2.7019,                 1.9927,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.5345,                 2.3383,                 2.1067,                0.16409,                   0.15,                0.12862,                0.03622,                 2.9855,                 2.8155,                  1.859,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.3465,                 2.2547,                   1.99,                0.30268,                0.23333,                 0.1863,                0.06901,                 3.0324,                 2.1907,                 1.8677,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.5021,                 2.1924,                 2.0947,                0.34636,                0.27386,                 0.2455,                0.09162,                 2.6542,                 2.7124,                 1.7579,               0.001901,               0.001901,               0.001901
                     17,                 2.3247,                 2.0245,                 2.0746,                0.46631,                0.33333,                0.33831,                0.12361,                 3.0095,                 2.9566,                  1.943,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.2514,                 2.0296,                 1.9595,                0.55261,                    0.3,                 0.3217,                0.12419,                 2.8527,                 3.4209,                 1.8695,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.3973,                 2.1255,                 1.9764,                0.44153,                   0.45,                 0.3943,                0.15154,                 2.7002,                 1.9088,                 1.7272,              0.0018812,              0.0018812,              0.0018812
                     20,                 2.2064,                 1.8659,                  1.811,                0.50939,                0.41534,                0.37108,                0.13718,                 2.4602,                  1.734,                 1.6345,              0.0018746,              0.0018746,              0.0018746
                     21,                 2.3257,                 1.8393,                 2.0275,                0.58966,                0.41667,                0.46036,                0.19896,                 2.3103,                 1.9462,                  1.622,               0.001868,               0.001868,               0.001868
                     22,                 2.2703,                 1.8278,                 1.9762,                0.66908,                   0.35,                0.43802,                0.17285,                 2.3641,                 1.6865,                 1.5618,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.2072,                 1.7888,                 1.8711,                0.63699,                0.31667,                0.37726,                0.18035,                 2.5413,                 1.8754,                 1.6145,              0.0018548,              0.0018548,              0.0018548
                     24,                  2.166,                 1.7766,                 1.8535,                0.67736,                    0.4,                0.44407,                0.16772,                 2.4346,                 2.2611,                 1.5308,              0.0018482,              0.0018482,              0.0018482
                     25,                 2.1148,                 1.6721,                 1.7984,                0.67312,                0.43333,                0.51968,                  0.225,                 2.3727,                 1.5804,                 1.5245,              0.0018416,              0.0018416,              0.0018416
                     26,                 2.1255,                 1.6847,                 1.7844,                0.70038,                0.46667,                0.51032,                0.21576,                 2.3206,                 1.8925,                 1.5455,               0.001835,               0.001835,               0.001835
                     27,                 2.1136,                 1.6431,                 1.8603,                0.65926,                0.38333,                0.47561,                0.19503,                 2.1218,                 1.4805,                 1.5173,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.1382,                 1.6942,                 1.8157,                0.64911,                0.43169,                0.48353,                0.20315,                 2.2609,                 1.6203,                 1.4519,              0.0018218,              0.0018218,              0.0018218
                     29,                 2.1369,                  1.661,                 1.8435,                0.62606,                0.43333,                 0.4905,                 0.2075,                 2.2466,                 1.4794,                 1.4802,              0.0018152,              0.0018152,              0.0018152
                     30,                 2.1704,                  1.642,                 1.6697,                0.55732,                 0.4197,                0.42349,                0.15419,                 2.3311,                  1.688,                 1.5594,              0.0018086,              0.0018086,              0.0018086
                     31,                 2.0804,                 1.5654,                 1.8196,                0.70232,                   0.45,                0.54831,                0.23745,                 2.2079,                 1.5534,                 1.4739,               0.001802,               0.001802,               0.001802
                     32,                 2.0996,                  1.601,                 1.7702,                0.61902,                   0.55,                0.57461,                0.23835,                 1.9991,                  1.542,                 1.3749,              0.0017954,              0.0017954,              0.0017954
                     33,                 2.0615,                 1.5204,                 1.7073,                0.60691,                0.28333,                0.30631,                0.15414,                 2.7555,                 2.5913,                 1.8389,              0.0017888,              0.0017888,              0.0017888
                     34,                 2.1018,                 1.5116,                 1.7291,                0.50971,                0.56667,                0.53202,                0.23787,                 2.0709,                 1.5543,                 1.4322,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.999,                 1.5082,                 1.6967,                 0.6899,                0.43333,                0.50044,                0.21303,                 2.0522,                 1.4844,                  1.445,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.9951,                 1.4356,                 1.6227,                 0.7286,                0.46667,                0.58754,                 0.2467,                 2.2201,                 1.4008,                 1.4251,               0.001769,               0.001769,               0.001769
                     37,                 1.8955,                 1.4305,                 1.6777,                0.59722,                0.53333,                0.55319,                0.23872,                 2.3214,                 1.5994,                 1.4688,              0.0017624,              0.0017624,              0.0017624
